content,ename,more,name
在首尔金融业独自打拼的单身女子郑海媛（池成媛 饰）自然承受来自方方面面的巨大压力，她的情绪越来越紧张，最终不得不被迫休假。利用假期，海媛回到阔别已久的家乡无岛。这里风景秀美，民风粗犷甚至有些野蛮，男尊女卑的现象依然十分严重。海媛重逢了童年的玩伴金福南（徐英姬 饰），这是一个温和开朗、任劳任怨的女人，但是她的丈夫和家人都视其为猪狗，任意欺负和凌辱。福南希望女儿小燕拥有更好的人生，只是在这个蛮荒所在，人的尊严被肆意践踏。巨大的压力下，逆来顺受的福南化身为悲剧的复仇女王……本片为韩国名导金基德的导演助理张哲秀的长片处女作。,张哲洙,김복남 살인사건의 전말,韩国,2010-09-02韩国上映,/ 116分钟,"惊悚,恐怖,犯罪",金福南杀人事件始末
影片讲述了一个FBI探员在查案过程中被嫌疑人所从事的极限运动所吸引，进而放弃一切加入其中的故事。年轻的FBI特工强尼·犹他（卢克·布雷西 饰），潜伏到一队寻找刺激的精英运动员里，该队伍由富有个人魅力的鲍迪（埃德加·拉米雷兹 饰）领导。这些运动员们被怀疑是在用极不寻常的方式进行着系列犯罪。在与鲍迪这一伙人的交往中，犹他发现自己无可自拔地与这伙人产生了伙伴情谊，并在他们的生活方式和理念中找到了自我。最终，犹他陷入了职业伦理与追求真我之间的矛盾，他放弃了自己的一切，加入到了对极限运动界的八项巅峰挑战中……,埃里克松·科尔,Point Break,"美国,中国大陆,德国",2015-12-04大陆上映,/ 114分钟,"动作,犯罪,运动",极盗者
粉丝制作的AVP同人微电影。讲述了在地球轨道上的一场同归于尽的战斗。,Daniel William Bones,AVP Redemption,美国,2015-08-16美国上映,/ 22分钟,"动作,科幻,短片",异形大战铁血战士：救赎
在罪恶横行的哥谭市，有一个令罪犯们心惊胆颤的名字：蝙蝠侠。蝙蝠侠（迈克尔·基顿 饰）穿梭于最黑暗的角落，四处打击罪恶。在一次打击罪恶的行动中，蝙蝠侠令匪徒尼巴（杰克·尼科尔森  饰）落入了化学池。尼巴因此面部神经受损，成了永远咧嘴笑的笑面人，人称“小丑”。“小丑”杀死了团伙的首领，控制了整个哥谭市的黑道。“小丑”利用化学药品让人发笑而死，他用这种方法袭击了博物馆，幸得蝙蝠侠及时赶到，挫败了“小丑”的阴谋。在女友维可·瓦丽（金·贝辛格 饰）家里时，“小丑”突然袭击，蝙蝠侠巧妙躲过了袭击，意外发现“小丑”就是杀死自己的父母的仇人。“小丑”这次虏走了蝙蝠侠的女友碧姬，约定蝙蝠侠在教堂楼顶决一死战。,蒂姆·波顿,Batman,"美国,英国",1989-06-23美国上映,/ 126分钟,"动作,奇幻,惊悚",蝙蝠侠
卡尔（爱德华·阿斯纳 配音）是一个以卖气球为生的老头。自从老伴艾丽病逝之后，卡尔就变得沉默寡言起来。回想过去和艾丽在一起的日子，他们曾经多次都梦想着到南美洲的天堂瀑布去探险，可是为生计奔波的两人，却一直没有时间去完成这次旅行。难道就这样抱着遗憾过一辈子吗？这时候，政府计划要在卡尔所住的地方建造一幢摩天大楼，而在这里住了一辈子的卡尔根本不愿意搬家，但政府已经打算将这个难缠的钉子户送到养老院去。卡尔知道政府接下来的打算，他决定，要带着这幢保存了他一生回忆的屋子一起去旅行！在一大堆五颜六色气球的牵引下，整幢房子飞向了空中，卡尔朝着梦想之地进发——不过老卡尔却万万没有想到，这幢飞屋里闯入了一个不速之客，他就是9岁的胖乎乎小男孩罗素（乔丹·长井 配音）。这个小男孩骗老卡尔说是不小心才闯进来的，其实他是因为参加了野外探险者协会，而如果要成为高级会员，必须拿到一枚徽章，而拿到这枚徽章的条件就是帮助一位老人。罗素选中的帮助对象，就是脾气怪怪的老卡尔。老卡尔一开始并不想让罗素跟自己一起旅行，因此策划了很多办法想把这个讨厌的小孩从飞屋里丢下去，但此刻飞屋被卷进了暴风雨云里，卡尔和罗素一起度过了这个难关，罗素也告诉卡尔，他手中的GPS可以让卡尔更加精确的到达旅行的目的地——天堂瀑布。于是，这一老一少的旅途开始了。老不乐意的卡尔在路上还是想了不少办法踢走罗素，最后都无功而返，两人一路斗气地到了南美，在南美的丛林里，他们结识了很多平时根本见不到的动物，有长着长长大嘴的大鸟，还有会说话的小狗……他们都成为了飞屋里的旅客，随着卡尔和罗素一起旅行。眼看就要到目的地天堂瀑布了，爷孙两人却碰上了一个利欲熏心的探险家查尔斯（克里斯托弗·普卢默 配音），查尔斯认为卡尔和罗素破坏了他的好事，因此决定要拆掉他们的飞屋，让他们坠毁……究竟卡尔和罗素如何度过这场危机，顺利地到达天堂瀑布呢？,彼特·道格特,Up,美国,2009-08-04大陆上映,/ 96分钟,"喜剧,动画,冒险",飞屋环游记
“忠信义”帮主连浩龙（洪金宝 饰）老来得子，风光地办了满月酒招待帮众。虽然孩子是他新纳小妾（张文慈 饰）生的，但是连浩龙老婆Soso（恬妞 饰）的出场还是颇具阿嫂风范。不过，因为酒席人数众多，引起骚乱。在警匪对峙之时，反黑组高级督察廖志宗（李修贤 饰）出面化解，避免了一场血战。 弟弟连浩东（任达华 饰）嗜赌成性，因此连浩龙特意做局劝他收手，共叙兄弟情义。在一次三亿元毒品交易却被警察捣破后，又发生了四叔(许绍雄饰)被绑架事件。警方的反黑行动令连浩龙的爪牙纷纷落马，仅剩下心狠手辣功夫了得的骆天虹（吴京 饰）死里逃生。女警员雷美珍（邵美琪 饰）通过诱敌深入，获得了关键情报，警方拉开了天罗地网。与此同时，连浩龙也赫然发现一起出生入死的同党中害他的奸细，这个人也最终导致了“忠信义”与连浩龙的覆灭……,罗守耀,奪帥,中国香港,2012-10-09美国上映,/ 117分钟,"动作,犯罪",夺帅
乐高短片《乐高侏罗纪世界：I-Rex大逃脱》(LEGO Jurassic World: The Indominus Escape)发布预告，看到很多[侏罗纪世界]里的乐高版场景，还有乐高版的“帕帕”克里斯·帕拉特和布莱丝·达拉斯·霍华德。短片由5部分组成，会在10.3至10.7期间放出。,Michael D. Black,LEGO Jurassic World: The Indominus Escape,美国,2016-10-03美国上映,/ 24分钟,"动画,短片",乐高侏罗纪世界：I-Rex大逃脱
李山（李敏镐 饰）和王博宥（钟汉良 饰）曾经同为国际刑警，后因任务失败被一同革职，当起了私人保镖。在一起看似普通的爆炸案中，两人与凯蒂（唐嫣 饰）、天柯（吴千语 饰）和宝宝（樊少皇 饰）组成的赏金三人组狭路相逢，一番冲突较量后，他们组成了专门缉捕罪犯的赏金天团，在经历了连番惊险的任务后，五人凭着各自的绝技，成功挫败了连环恐怖袭击，抓住了幕后操控的黑手......,申太罗,Bounty Hunters,"韩国,中国大陆,中国香港",2016-07-01大陆上映,/ 105分钟,"剧情,喜剧,动作,悬疑",赏金猎人
某日，高柳芭蕾舞团斋藤叶瑠子（木南晴夏 饰）被控杀害一名陌生男子而接受警方调查，搜查一课的加贺恭一郎（阿部宽 饰）受命协助石神井北署的太田刑警（柄本明 饰）追查真相。经过初步询问，警方认为这是因入室抢劫所引发的的正当防卫事件，但加贺却从中窥见诸多疑点。他先后走访剧团首席女演员高柳亚希子（音月桂 饰）、饰演黑天鹅的新人浅冈未绪（石原里美 饰）、饰演青鸟的男舞者柳生、剧团负责人梶田康成（平岳大），结果发现这群“擅长说谎”的舞者心中隐藏着错综复杂的关联和秘密。欲望当前，没有能永远隐藏的秘密…… 本片根据东野圭吾的同名原作改编，是“新参者”系列的SP作品。,土井裕泰,眠りの森～新参者・加賀恭一郎～,日本,2014-01-02日本上映,/ 129分钟,"剧情,悬疑",沉睡的森林
英国军情六处特工詹姆斯·邦德（丹尼尔·克雷格 饰）这一次的任务是在赌场上赢取俄罗斯间谍手中的巨额财富，让其背后的恐怖组织势力无法达成阴谋并且击垮恐怖组织。这次，邦德有了一个漂亮的得力女助手琳德（爱娃·格林 饰）。邦德经过了赌场上的种种训练，最终来到了皇家赌场。随着赌注越来越大，这场赌局也愈来愈显示出背后交错的阴谋。邦德甚至险些死于非命。在共同的合作中，邦德和琳德不知不觉拥有了信任和默契，这种感情，将会何去何从呢？,马丁·坎贝尔,Casino Royale,"美国,英国,德国,捷克,巴哈马",2007-01-30大陆上映,/ 144分钟,"动作,犯罪,惊悚",007：大战皇家赌场
根据英国儿童文学作家罗尔德·达尔的同名小说改编。孤儿院里一个名叫苏菲（鲁比·巴恩希尔 饰）的小女孩一天夜里睡不着觉，她在“巫师出没的时刻”看到一个和楼房一样高大的巨人BFG（马克·里朗斯 饰）沿街走过来。巨人发现苏菲看见了他，于是便把她拎回了巨人国。这个巨人是好心眼儿巨人，好心眼儿巨人专门搜集好梦，把梦分门别类地装在一个个玻璃瓶子里，再挨家挨户地把捕捉来的好梦吹到孩子们睡觉的卧室里。他与其他巨人国中的巨人不一样。其他巨人都吃人，他只吃自己种植的食物。为了阻止其他巨人继续吃人，聪明的苏菲她让BFG调制出一个关于巨人吃小孩的噩梦，并想要把这个梦吹到英国女王的卧室里。两人由此开始了一段奇幻的冒险之旅......,史蒂文·斯皮尔伯格,The BFG,"美国,英国,加拿大",2016-10-14大陆上映,/ 118分钟,"冒险,家庭,奇幻",圆梦巨人
夜幕笼罩下的东京霓虹闪烁，在城市某个不起眼的角落，充满温情的深夜食堂悄然开张。妖媚的川岛玉子（高冈早纪 饰）一脸颓唐，她的靠山不久前去世，却没给她留下分文遗产。在颓唐无助的时候，貌不惊人的上班族小初（柄本时生 饰）走入玉子的视野，他们的关系迅速拉近。乡下女孩栗山美知留（多部未华子 饰）独自来到东京，走投无路之际她在老板（小林薰 饰）这里吃了霸王餐，事后主动登门要求打工还钱，女孩因此找到了暂时的栖身地。3·11大地震让福岛灾民大石谦三（筒井道隆 饰）和来自东京的志愿者杉田明美（菊池亚希子 饰）相识。大石对后者展开狂热的追求，甚至尾随来至东京。 平凡人的小故事，在深夜食堂内交替上演……,松冈锭司,映画 深夜食堂,日本,2015-01-31日本上映,/ 119分钟,剧情,深夜食堂 电影版
少年铁木真(陈伟霆 饰）身为部落首领之子，年幼丧父，母亲独自将他抚养成人，铁木真成人之际返回翁吉剌部落迎娶自幼定有婚约的孛尔帖（林允 饰），谁知途中却逐步陷入叔父（赵立新 饰）设置的杀戮陷阱，而青梅竹马的恋人孛尔帖也在新婚之夜被另一部落首领忽出鲁（胡军 饰）掳走，铁木真在好兄弟札木合（李光洁 饰）的支持与萨满长老的辅佐下，踏上拯救恋人和守卫草原的征途……,哈斯朝鲁,Genghis khan,中国大陆,2018-04-28大陆上映,/ 119分钟,"爱情,动作,冒险",战神纪
小罗伯特·唐尼将出演新版《怪医杜立德》，并和妻子苏珊·唐尼一同担任制片！目前片名定为“The Voyage of Doctor Dolittle”，杜立德医生是休·洛夫廷创作的经典儿童文学作品，曾被多次改编并被搬上银幕，这位医生以救助动物为第一要任，每天和动物们生活在一起，还会说各种动物的语言。,斯蒂芬·加汉,The Voyage of Doctor Dolittle,美国,2019-04-12美国上映,,剧情,怪医杜立德
6 个朋友：辛迪（安娜·法瑞丝 饰），鲍比（琼·阿伯拉罕 饰），布佛（莎诺·伊丽莎白  饰），格雷戈（拉科恩·玛诺 饰），雷（肖恩·韦恩斯 饰） ，和布兰达（雷吉娜·赫尔 饰）现在正深陷困境，被一位连环杀手跟踪。事情起源于他们在去年万圣节的晚上开车回家时发生了车祸，为了逃避责任，他们没有报警，而是选择逃离了现场。现今，一位自称知道他们的事的连环杀手，似乎已经从恐怖电影里走出来，进入了他们的生活。六位好友将不得不想方设法逃离这个杀手的魔掌和那些恼人的记者，如果他们想活下去的话……,基伦·埃弗瑞·韦恩斯,Scary Movie,美国,2000-07-07美国上映,/ 88分钟,喜剧,惊声尖笑
1969年美国宇航员尼尔·阿姆斯特朗和巴兹·奥尔德林成功登月并实现人类首次在月面的行走，迈出了“人类的一大步”。作为第一个在月球表面留下足迹的人，阿姆斯特朗成为了那个年代的英雄。 然而，阿姆斯特朗此后再也没有返回过太空。2012年8月25日，他因心脏搭桥手术后的并发症逝世，享年82岁。,达米恩·查泽雷,First Man,美国,2018-10-12美国上映,/ 141分钟,"剧情,历史,传记",登月第一人
一代大侠李慕白（周润发 饰）有退出江湖之意，托付红颜知己俞秀莲（杨紫琼 饰）将青冥剑转交给贝勒爷（郎雄 饰）收藏，不料当夜遭玉娇龙（章子怡 饰）窃取。俞秀莲暗中查访也大约知道是玉府小姐玉蛟龙所为，她想办法迫使玉蛟龙归还宝剑，免伤和气。但李慕白发现了害死师傅的碧眼狐狸（郑佩佩 饰）的踪迹，她隐匿于玉府并收玉蛟龙为弟子。而玉蛟龙欲以青冥剑来斩断阻碍罗小虎（张震 饰）的枷锁，他们私定终身。关系变得错综复杂，俞秀莲和李慕白爱惜玉蛟龙人才难得，苦心引导，但玉蛟龙却使性任气不听劝阻……,李安,"Crouching Tiger, Hidden Dragon","中国台湾,中国香港,美国,中国大陆",2000-10-13大陆上映,/ 120分钟,"爱情,奇幻,武侠",卧虎藏龙
在樱花烂漫的季节里，无忧无虑的草帽海贼团尽情享受快乐时光。途中乔巴救上了一个魁梧健硕的家伙，最引人注目的是他的右腕装配了用海楼石做成的机械手腕，凡是触碰过手腕的人均能力尽失。原来此人便是曾经培养出无数优秀弟子的原海军大将Z（大冢芳忠 配音）。苏醒后的Z得知路飞（田中真弓 配音）等人的身份后反目成仇，与随后赶来的下属艾伊（筱原凉子 配音）和宾兹（香川照之 配音）对草帽海贼团予以残酷无情的重创。原来Z因某件往事而对海贼极度憎恨，此时他正酝酿一项恐怖计划，势要带领“NEO海军”将新世界的海贼一举歼灭。他的行动引起海军本部的忌惮，而惨败的路飞等人也将向这个前所未有的敌人展开新的挑战……,长峰达也,One Piece Film Z,日本,2012-12-15日本上映,/ 108分钟,"动作,动画,冒险",海贼王剧场版Z
本片根据弗兰克·赫伯特的作品改编而成，弗兰克·赫伯特是美国最具影响力的科幻巨匠之一，他在科幻文学中的地位如同托尔金在奇幻文学中的地位一样，无人可以动摇。《沙丘》作为其最成功的代表作，曾在1984年被大卫·林奇搬上银幕，随后还产生了一系列的电视剧集，以及相关的电脑游戏等等。《沙丘》的故事发生在未来世界，宇宙成为一个新的活动空间，被牢牢控制在领袖沙丹四世的手中。为了铲除异己，沙丹四世将自己视为眼中钉的亚崔迪公爵，流放到了一个荒凉的星球上。那个星球上出产一种神秘的香料，可以治疗宇航员疾病，是当地重要的输出商品。而控制这一经济命脉的哈肯尼家族，在沙丹四世的授意下，试图将亚崔迪公爵家族全部消灭。随后亚崔迪公爵战败自杀，其子保罗和母亲逃到沙漠中请求土著人——费瑞曼人的保护。保罗被后者当作救世主，并随即成为了费瑞曼人的领袖，他娶了费瑞曼姑娘为妻，并带领着费瑞曼人向沙丹四世挑战，最终成为了新的宇宙领袖。,丹尼斯·维伦纽瓦,Dune,"美国,英国,匈牙利,加拿大",2020-11-20美国上映,,"剧情,科幻,冒险",沙丘
暂无剧情简介,汤姆·威灵,Smallville: Absolute Justice,,2010-02-05美国上映,,动作,超人前传：绝对正义
MI6秘密特工（马克·斯特朗 饰）为了完成一项任务，不得不同与自己在年少分离的足球流氓哥哥（萨莎·拜伦·科恩 饰）携手。当蠢贱无双的哥哥遇到精英特工弟弟，活活将一次箭在弦上的隐秘行动，搅和成一场鸡飞狗跳的绝命逃亡。人类的安危系于由两个画风完全不同的家伙临时凑成的组合上，一个王牌大“贱”谍如何拯救世界的搞笑故事就此展开。,路易斯·莱特里尔,The Brothers Grimsby,"英国,澳大利亚,美国",2016-02-24美国上映,/ 83分钟,"喜剧,动作",王牌贱谍：格林斯比
大三儿姓叶，单字一个云，1970年出生在内蒙古的昭乌达盟。现在的大三儿，在当地一个铜业公司上班。在他近10年的生活里，除了四季的变化以外，似乎生活从始至终都一成不变。大三儿一直有一个想法，想着去一趟西藏，看一看珠峰；这件看起来不小不大的事儿却因为严酷的地理环境遭到周围人的劝阻，大三儿决心想在平平的生活里能有一点儿不一样，在普通的生活中去满足自己一个小心愿，于是他在坚持己见下说服朋友踏上了去往西藏的路……,佟晟嘉,Mr.Big,中国大陆,2018-08-20大陆上映,/ 106分钟,纪录片,大三儿
本片是关于20世纪伟大数学家小约翰·福布斯-纳什的人物传记片。小约翰·福布斯-纳什（拉塞尔·克劳 饰）在念研究生时，便发表了著名的博弈理论，该理论虽只有短短26页，却在经济、军事等领域产生了深远的影响。但就在小约翰·福布斯-纳什蜚声国际时，他的出众直觉因为精神分裂症受到困扰，然而这并没阻止他向学术上的最高层进军的步伐，在深爱他的妻子艾丽西亚（珍妮弗·康纳利 饰）的鼓励和帮助下，他走得虽然艰缓，却始终没有停步，而最终，凭借十几年的不懈努力和顽强意志，他如愿以偿。,朗·霍华德,A Beautiful Mind,美国,2001-12-21美国上映,/ 135分钟,"传记,剧情",美丽心灵
恶战结束，两名铁血战士带着死去同伴的尸体向家乡返航。令他们想不到的是，死去同伴的身体竟成为异形幼卵的栖息地，成熟的异形破胸而出，并且兼具异形和铁血战士的强大威力，成为了连铁血战士也难以撼动的终极异形。一场残酷的杀戮随即在飞船上进行，最终导致飞船坠毁在科罗拉多州的群山之中。幸存的异形逃出飞船，并开始恐怖的繁殖，而附近的康尼森小镇的居民也不可避免地成为异形狩猎和寄生的对象，原本宁静祥和的小镇变成了恐怖的人间地狱。与此同时，一个留在地球的铁血战士获知了同伴死前发出的信息，他决定与这群宿命的恶魔敌人奋战到底……,科林·施特劳斯,AVPR: Aliens vs Predator - Requiem,美国,2007-12-25美国上映,/ 94分钟,"动作,科幻,惊悚",异形大战铁血战士2
人类青年乔纳森（安迪·萨姆伯格 配音）与吸血鬼梅菲丝（赛琳娜·戈麦斯  配音）婚后生下了混血儿子丹尼斯。精灵旅社也放宽了入住规则，面向人类游客开放，生意更加兴隆。吸血鬼公爵德古拉（亚当·桑德勒配音）用尽浑身解数，只为激发孙子丹尼斯（埃舍尔·布林克·欧福 饰）的吸血鬼潜能。德古拉的老爸弗拉德（梅尔·布鲁克斯 配音）突然造访，古板的弗拉德无法接受孙女与人类相爱，一怒之下决定毁掉旅社，精灵旅社顿时人仰马翻。就在这时，丹尼斯的身体却发生了奇妙的变化……,格恩迪·塔塔科夫斯基,Hotel Transylvania 2,美国,2015-10-27大陆上映,/ 89分钟,"动画,喜剧,家庭",精灵旅社2
ダンジョンと称される地下迷宮を有する迷宮都市・オラリオを舞台に、少年と女神が繰り広げる冒険を描いたファンタジーアニメのOVA。大激戦の末、階層主との戦いに勝ったベルたちは、地上に戻る途中で見つけた温泉のような場所で休憩することに。,铃木洋平,ダンジョンに出会いを求めるのは間違っているだろうか OVA,日本,2016-12-07日本上映,/ 25分钟,动画,在地下城寻求邂逅是否搞错了什么 OVA
路人女主的养成方法♭ 第0话,龟井干太,冴えない彼女の育てかた♭ 第0話 恋と純情のサービス回,日本,2017-04-06日本上映,/ 24分钟,动画,路人女主的养成方法♭：恋与纯情的福利回
一纸戒烟令让狭窄的后巷成为新型社交区域，无数抽数的男男女女不得不躲进那里抽烟。无论身居何位，所为何事，在那里他们都只是一个烟民，大家所做的无非是一起吞云吐雾、一起科插打诨。来自广告公司的志明（余文乐 饰）和在化妆品专柜工作的春娇（杨千嬅 饰）在那里相识，志明的不幸遭遇以及为春娇点烟的举动让春娇对这个斯文的男人略生好感。在接下来的几个日日夜夜，两人不时的传送短信和相约街角吸烟。感情通过拇指传送，爱情在烟雾之中滋生，最终一条暧昧的短信导致春娇和男友家豪（黄德斌 饰）分手。就当春娇准备全身心投入与志明的恋情时，志明的态度却变得含混不清。烟雾继续在街角后巷萦绕，但却不能弥合二人之间出现的隔阂。伴随着增加烟草税的决意颁发，广大烟民们开始搜寻和囤积香烟。在寻烟过程中，志明和春娇在他们第一次遇见的便利商店重逢，这晚，两人相约一起去找烟……,彭浩翔,志明與春嬌,中国香港,2010-06-18大陆上映,/ 104分钟,"喜剧,剧情,爱情",志明与春娇
这是一个世界首例放归野生草原狼的真实事件。一个出生于成都的女人李微漪在若尔盖草原偶然拯救了一只出生仅五天的小狼崽，从此与狼一起生活的酸甜苦辣，历时200天，送狼千里，最后成功放归狼重回狼群。,亦风,Return to the Wolves,中国大陆,2017-06-16大陆上映,/ 98分钟,纪录片,重返·狼群
奥斯丁（埃米尔·赫斯基 Emile Hirsch 饰）和父亲汤米（布莱恩·考克斯 Brian Cox 饰）同为镇上的验尸官，某天晚上，刑警谢尔顿（迈克尔·麦克埃尔哈顿 Michael McElhatton 饰）送来了一具无名女尸，希望汤米和奥斯丁能够在天亮之前弄清楚她身上的秘密。 奇怪的是，这具女尸身上没有任何的淤青或伤口，然而她的内脏和骨骼却伤痕累累，很显然生前遭到了残酷的虐待。在解剖的过程中，难以用科学解释的谜团越来越多，挑战着汤米丰富的经验和好奇心，而屋外忽然降下的暴雨亦给这个不平凡的晚上带来了一丝阴森的气氛。行踪诡异的人影，忽近忽远的脚步，似真似幻的可怕光景，很快，父子两人便发现，他们要做的最重要的事情并不是解开女尸之谜，而是尽快的逃离她，逃得越远越好。,安德烈·艾弗道夫,The Autopsy of Jane Doe,"英国,美国",2016-09-09多伦多国际电影节 上映,/ 99分钟,恐怖,无名女尸
在远离喧嚣的崇山峻岭之中，原始密林中央，贝拉（克里斯汀·斯图尔特 饰）与爱人爱德华（罗伯特·帕丁森 饰）以及友人们展开难得的幸福生活。贝拉正在学习控制体内躁动的吸血鬼欲望，因为她即将面对那个她和爱人共同孕育出来的小生命蕾妮斯梅。一切都得到修复与改善，小女孩在父母长辈的呵护下快乐成长。但是她们离群索居的秘密最终被艾瑞娜（玛姬·格蕾斯 饰）窥见。传说吸血鬼孩童因心智不成熟容易带来难以预料的灾难，因此必须被族人残酷抹杀。听取了艾瑞娜的报告，远在意大利的沃尔图里家族渐次逼近。贝拉坚信女儿绝非血族，云集世界各地的库仑家族与狼族相继云集密林木屋，一场史无前例的战争即将展开……,比尔·康顿,The Twilight Saga: Breaking Dawn - Part 2,美国,2012-07-16大陆上映,/ 115分钟,"奇幻,爱情,惊悚",暮光之城4：破晓（下）
本片讲述了13岁的少年亚当，父亲早逝跟着妈妈长大，无法与同学好好交流的他一心想要逃离学校生活。一次偶然的机会，他发现了母亲隐瞒已久的秘密，原来他的父亲还在人世。亚当义无反顾的踏上前去寻找父亲之路，却意外的混入了原始森林中，发现父亲居然是拥有超能力的森林之王！而亚当竟然也遗传了父亲的基因，拥有超能力！就在一家人即将团聚的时候，一个巨大的阴谋正在靠近……父子二人能同心协力度过难关吗？,本·斯塔森,The Son of Bigfoot,"法国,比利时",2017-10-14大陆上映,/ 92分钟,"喜剧,动画",我的爸爸是森林之王
迪克·切尼曾担任老布什总统手下的国防部长以及小布什总统的副手，也是那个时期最有影响力的共和党政治家之一。本片讲述了迪克·切尼如何从白宫实习生做起，在政坛步步为“赢”，并成功独揽大权。,亚当·麦凯,Vice,美国,2018-12-25美国上映,/ 132分钟,"剧情,喜剧,历史,传记",副总统
上一部结尾，尼奥（基努·里维斯 饰）终于意识到自己的能力和使命，中弹复活后，变成了无所不能的“救世主”，他和女友崔妮蒂（凯莉·安·摩丝 饰），舰长墨菲斯（劳伦斯·菲什伯恩 饰）回到了人类的基地锡安，受到人们的热烈欢迎。此时，“母体”决定先下手为强，派出了两万五千只电子乌贼攻击锡安基地；墨菲斯、尼奥和崔妮蒂则再次进入“母体”，寻找“制钥者”，准备从内部破坏；而本该被尼奥消灭的特勤史密斯似乎出了点问题，脱离了“母体”的控制，拥有可怕的复制能力，阻碍尼奥他们的行动。,莉莉·沃卓斯基,The Matrix Reloaded,"美国,澳大利亚",2003-07-19大陆上映,/ 138分钟,"动作,冒险,科幻",黑客帝国2：重装上阵
事业有成的保险公司CEO叶瑾（郑秀文 饰），是众人心中不怒而威的霸道女总裁，但她却始终找寻不到情感的归属。对爱情绝望，认为只有孩子才是永恒寄托的她于是决定“借精生子”。经过严格的层层筛选，风流帅气、浪荡不羁的快递员肖博（张孝全 饰）意外成为了孩子父亲的最终人选。有苦难言的肖博，义无反顾地与其签订了“变态”合约。为孕育下一代，而共赴浪漫之都法国普罗旺斯的两人由此开启了一段不解情缘……,刘国楠,Love Contractually,中国大陆,2017-02-14大陆上映,/ 96分钟,"喜剧,爱情",合约男女
男孩托马斯（迪伦·欧布莱恩 饰）在电梯中醒来，奇怪的是他除了名字之外什么都记不得。当电梯打开，他来到了一个陌生的地方“林间空地”。这里四周被高大的石头墙包围着，墙内住着许多男孩，有纽特（托马斯·桑斯特 饰）、查克（布雷克·库珀 饰）、米诺（李基弘 饰）等人，他们都被困在迷宫里，而墙外还有一群巨大的怪兽威胁着。一天，电梯为他们送来了一个女孩特雷莎（卡雅·斯考达里奥 饰），她是来这里的第一个女孩。此后，迷宫逐渐开始发生变化，一切都陷入了混乱中，托马斯和特雷莎决定一起走上破解迷宫之路，找出迷宫背后令人不寒而栗的秘密。,韦斯·鲍尔,The Maze Runner,"美国,英国",2014-10-28大陆上映,/ 113分钟,"动作,悬疑,科幻",移动迷宫
7000万年前恐龙以统治地球的其余部分同样方式统治朝鲜半岛。在那时那块现今叫做全罗南道丽水的土地是当时许多种恐龙的森林栖息地：特暴龙。作为特暴龙家庭里最年轻的一种，特暴龙家族最小的成员“班点”降生了，成为王位的继承者。小班点就是个好奇贪玩的孩子。和它的母亲及兄弟姐妹一块，它在森林里快乐地生活，耐心地等待着学会捕猎的一天。,韩相浩,점박이: 한반도의 공룡 3D,韩国,2012-01-26韩国上映,/ 88分钟,动画,特暴龙3D
昔日风靡一众女士的鸭界万人迷张近莱Future（吴君如饰）当年因受到感情重创，避走泰国颓废过活。幸得好友鲁老师的激励，他决定回到香港，并找到健身教练Rocky相助重练钢条身型，誓要在鸭界重振雄风！ Future以真心待人，故也得到众多贵人如安老院的媚姨、卖补药的King哥、泰菜馆老板链球、Poy及老鸭鹏于晏等人的相助，终于得到一个千载难逢的机会，将与一众鸭仔随她上电视表演节目跳舞，随时一举成名！众人感激Future的带领，Future却因领悟到做鸭其实是要带给客人快乐的真谛，而选择放弃表演机会…,邹凯光,12 Golden Ducks,中国香港,2015-02-19中国香港上映,/ 84分钟,喜剧,12金鸭
为了培养出忠实效忠于成人、在逆境中坚忍不拔的青少年一代，日本政府出台《BR》法案。每年都从全国学校随机抽出一个班级的同学，前往荒岛进行生存极限挑战——老师发给学生地图、粮食和各式武器，令他们自相残杀，直到存活下来的最后一个，才能离开荒岛。接下来，残酷的游戏规则和令人绝望的生存条件，使班级里的年轻人开始了相互杀戮。善良或者凶残，主动出击或者被动防守， 同学们开始了各自的计划，人性的丑恶在血腥的死亡中暴露无遗。大逃杀的游戏在荒岛上壮烈上演。究竟学生们的宿命如何，谁才是最后的存活者。,深作欣二,Battle Royale,日本,2000-12-16日本上映,/ 114分钟,"动作,惊悚",大逃杀
时空劳工局特工（伊桑·霍克 饰）曾经奉命回到20世纪70年代，以阻止当年给城市造成巨大伤害的恐怖分子“闪灭炸弹客”的破坏活动。谁知他的任务失败，在经过漫长的康复后，他再度踏上征程，发誓要将闪灭炸弹客绳之于法。此番他以酒保身份混迹市 井，某天偶然结识了笔名“未婚妈妈”的作家（莎拉·斯努克 饰）。作家向他讲述了其匪夷所思的人生。当年作家曾是名叫简的孤儿，性格古怪的她在应聘太空公司失败后，短暂坠入爱河，并生下一名女婴，结果她的人生也发生了翻天覆地的变化。特工打算带着“未婚妈妈”去杀掉那个负心汉，然而真相却并没有那么简单……,迈克尔·斯派瑞,Predestination,澳大利亚,2015-01-09大陆上映,/ 97分钟,"惊悚,悬疑,科幻",前目的地
